season,player_id,first_name,last_name,player_name,position,height_wo_shoes,wingspan,standing reach,body fat pct,standing vertical leap,maximum vertical leap,lane agility time,three quarter sprint,bench press
2022,1631101,Shaedon,Sharpe,Shaedon Sharpe,SG,6' 4.25'',83.5,103.5,4.8,NULL,NULL,NULL,NULL,NULL
2022,1631173,Terquavion,Smith,Terquavion Smith,SG,6' 2.25'',78.5,98,3.8,30.5,38.5,10.63,3.14,NULL
2022,1631095,Jabari,Smith,Jabari Smith,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631110,Jeremy,Sochan,Jeremy Sochan,PF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,1631164,Matteo,Spagnolo,Matteo Spagnolo,PG,6' 4.00'',80,102,8.6,25.5,31.5,11.42,3.4,NULL
2022,1631124,Julian,Strawther,Julian Strawther,SF,6' 5.75'',81.5,104.5,7.9,28.5,35,10.3,3.26,NULL
2022,1631207,Dalen,Terry,Dalen Terry,SG,6' 6.00'',84.75,106,5.4,NULL,NULL,NULL,NULL,NULL
2022,1631166,Drew,Timme,Drew Timme,C,6' 8.25'',86,107.5,15.7,25.5,31.5,11.71,3.38,NULL
2022,1631133,Jabari,Walker,Jabari Walker,PF,6' 6.75'',82.75,105,12.1,29.5,32.5,11.53,3.24,NULL
2022,1631102,TyTy,Washington Jr.,TyTy Washington Jr.,SG,6' 2.25'',80,99.5,12,NULL,NULL,NULL,NULL,NULL
